load_zone,TIMEPOINT,zone_demand_mw
Chongqing,2025.01.27.00,9676.034600319557
Chongqing,2025.01.27.01,9053.046219023076
Chongqing,2025.01.27.02,8486.010334263581
Chongqing,2025.01.27.03,8060.754045125596
Chongqing,2025.01.27.04,7803.974205189792
Chongqing,2025.01.27.05,7635.750915219907
Chongqing,2025.01.27.06,7517.771007139303
Chongqing,2025.01.27.07,7573.002328495304
Chongqing,2025.01.27.08,8091.79358809748
Chongqing,2025.01.27.09,9283.23663373641
Chongqing,2025.01.27.10,9957.30062673505
Chongqing,2025.01.27.11,10336.715376964605
Chongqing,2025.01.27.12,10142.666219027038
Chongqing,2025.01.27.13,10250.639198205694
Chongqing,2025.01.27.14,10480.14674025394
Chongqing,2025.01.27.15,10678.479207350974
Chongqing,2025.01.27.16,10835.962381206313
Chongqing,2025.01.27.17,10805.912357668807
Chongqing,2025.01.27.18,10358.276293783398
Chongqing,2025.01.27.19,9847.385098066698
Chongqing,2025.01.27.20,9913.419768684791
Chongqing,2025.01.27.21,10336.933180028378
Chongqing,2025.01.27.22,10022.172849991965
Chongqing,2025.01.27.23,9494.722502091648
Chongqing,2025.01.28.00,9676.034600319557
Chongqing,2025.01.28.01,9053.046219023076
Chongqing,2025.01.28.02,8486.010334263581
Chongqing,2025.01.28.03,8060.754045125596
Chongqing,2025.01.28.04,7803.974205189792
Chongqing,2025.01.28.05,7635.750915219907
Chongqing,2025.01.28.06,7517.771007139303
Chongqing,2025.01.28.07,7573.002328495304
Chongqing,2025.01.28.08,8091.79358809748
Chongqing,2025.01.28.09,9283.23663373641
Chongqing,2025.01.28.10,9957.30062673505
Chongqing,2025.01.28.11,10336.715376964605
Chongqing,2025.01.28.12,10142.666219027038
Chongqing,2025.01.28.13,10250.639198205694
Chongqing,2025.01.28.14,10480.14674025394
Chongqing,2025.01.28.15,10678.479207350974
Chongqing,2025.01.28.16,10835.962381206313
Chongqing,2025.01.28.17,10805.912357668807
Chongqing,2025.01.28.18,10358.276293783398
Chongqing,2025.01.28.19,9847.385098066698
Chongqing,2025.01.28.20,9913.419768684791
Chongqing,2025.01.28.21,10336.933180028378
Chongqing,2025.01.28.22,10022.172849991965
Chongqing,2025.01.28.23,9494.722502091648
Henan,2025.01.22.00,10368.997652661888
Henan,2025.01.22.01,10374.172785626737
Henan,2025.01.22.02,9953.487723147718
Henan,2025.01.22.03,9581.471035423343
Henan,2025.01.22.04,9317.245615188516
Henan,2025.01.22.05,9125.739186410217
Henan,2025.01.22.06,9235.081999698765
Henan,2025.01.22.07,9531.751983523396
Henan,2025.01.22.08,9627.753083289499
Henan,2025.01.22.09,9950.246223570612
Henan,2025.01.22.10,10551.17212099217
Henan,2025.01.22.11,11075.028224387283
Henan,2025.01.22.12,11620.900117785843
Henan,2025.01.22.13,11812.967570435278
Henan,2025.01.22.14,11791.492157808843
Henan,2025.01.22.15,11647.816263955827
Henan,2025.01.22.16,11536.310666684285
Henan,2025.01.22.17,11240.981685397606
Henan,2025.01.22.18,11152.801783478788
Henan,2025.01.22.19,10823.19503384029
Henan,2025.01.22.20,11100.124165439698
Henan,2025.01.22.21,11424.832852966561
Henan,2025.01.22.22,11316.401544159238
Henan,2025.01.22.23,10735.017425976372
Henan,2025.01.23.00,10368.997652661888
Henan,2025.01.23.01,10374.172785626737
Henan,2025.01.23.02,9953.487723147718
Henan,2025.01.23.03,9581.471035423343
Henan,2025.01.23.04,9317.245615188516
Henan,2025.01.23.05,9125.739186410217
Henan,2025.01.23.06,9235.081999698765
Henan,2025.01.23.07,9531.751983523396
Henan,2025.01.23.08,9627.753083289499
Henan,2025.01.23.09,9950.246223570612
Henan,2025.01.23.10,10551.17212099217
Henan,2025.01.23.11,11075.028224387283
Henan,2025.01.23.12,11620.900117785843
Henan,2025.01.23.13,11812.967570435278
Henan,2025.01.23.14,11791.492157808843
Henan,2025.01.23.15,11647.816263955827
Henan,2025.01.23.16,11536.310666684285
Henan,2025.01.23.17,11240.981685397606
Henan,2025.01.23.18,11152.801783478788
Henan,2025.01.23.19,10823.19503384029
Henan,2025.01.23.20,11100.124165439698
Henan,2025.01.23.21,11424.832852966561
Henan,2025.01.23.22,11316.401544159238
Henan,2025.01.23.23,10735.017425976372
Henan,2025.01.24.00,10368.997652661888
Henan,2025.01.24.01,10374.172785626737
Henan,2025.01.24.02,9953.487723147718
Henan,2025.01.24.03,9581.471035423343
Henan,2025.01.24.04,9317.245615188516
Henan,2025.01.24.05,9125.739186410217
Henan,2025.01.24.06,9235.081999698765
Henan,2025.01.24.07,9531.751983523396
Henan,2025.01.24.08,9627.753083289499
Henan,2025.01.24.09,9950.246223570612
Henan,2025.01.24.10,10551.17212099217
Henan,2025.01.24.11,11075.028224387283
Henan,2025.01.24.12,11620.900117785843
Henan,2025.01.24.13,11812.967570435278
Henan,2025.01.24.14,11791.492157808843
Henan,2025.01.24.15,11647.816263955827
Henan,2025.01.24.16,11536.310666684285
Henan,2025.01.24.17,11240.981685397606
Henan,2025.01.24.18,11152.801783478788
Henan,2025.01.24.19,10823.19503384029
Henan,2025.01.24.20,11100.124165439698
Henan,2025.01.24.21,11424.832852966561
Henan,2025.01.24.22,11316.401544159238
Henan,2025.01.24.23,10735.017425976372
Henan,2025.01.25.00,10368.997652661888
Henan,2025.01.25.01,10374.172785626737
Henan,2025.01.25.02,9953.487723147718
Henan,2025.01.25.03,9581.471035423343
Henan,2025.01.25.04,9317.245615188516
Henan,2025.01.25.05,9125.739186410217
Henan,2025.01.25.06,9235.081999698765
Henan,2025.01.25.07,9531.751983523396
Henan,2025.01.25.08,9627.753083289499
Henan,2025.01.25.09,9950.246223570612
Henan,2025.01.25.10,10551.17212099217
Henan,2025.01.25.11,11075.028224387283
Henan,2025.01.25.12,11620.900117785843
Henan,2025.01.25.13,11812.967570435278
Henan,2025.01.25.14,11791.492157808843
Henan,2025.01.25.15,11647.816263955827
Henan,2025.01.25.16,11536.310666684285
Henan,2025.01.25.17,11240.981685397606
Henan,2025.01.25.18,11152.801783478788
Henan,2025.01.25.19,10823.19503384029
Henan,2025.01.25.20,11100.124165439698
Henan,2025.01.25.21,11424.832852966561
Henan,2025.01.25.22,11316.401544159238
Henan,2025.01.25.23,10735.017425976372
Henan,2025.01.26.00,10368.997652661888
Henan,2025.01.26.01,10374.172785626737
Henan,2025.01.26.02,9953.487723147718
Henan,2025.01.26.03,9581.471035423343
Henan,2025.01.26.04,9317.245615188516
Henan,2025.01.26.05,9125.739186410217
Henan,2025.01.26.06,9235.081999698765
Henan,2025.01.26.07,9531.751983523396
Henan,2025.01.26.08,9627.753083289499
Henan,2025.01.26.09,9950.246223570612
Henan,2025.01.26.10,10551.17212099217
Henan,2025.01.26.11,11075.028224387283
Henan,2025.01.26.12,11620.900117785843
Henan,2025.01.26.13,11812.967570435278
Henan,2025.01.26.14,11791.492157808843
Henan,2025.01.26.15,11647.816263955827
Henan,2025.01.26.16,11536.310666684285
Henan,2025.01.26.17,11240.981685397606
Henan,2025.01.26.18,11152.801783478788
Henan,2025.01.26.19,10823.19503384029
Henan,2025.01.26.20,11100.124165439698
Henan,2025.01.26.21,11424.832852966561
Henan,2025.01.26.22,11316.401544159238
Henan,2025.01.26.23,10735.017425976372
Henan,2025.01.27.00,10368.997652661888
Henan,2025.01.27.01,10374.172785626737
Henan,2025.01.27.02,9953.487723147718
Henan,2025.01.27.03,9581.471035423343
Henan,2025.01.27.04,9317.245615188516
Henan,2025.01.27.05,9125.739186410217
Henan,2025.01.27.06,9235.081999698765
Henan,2025.01.27.07,9531.751983523396
Henan,2025.01.27.08,9627.753083289499
Henan,2025.01.27.09,9950.246223570612
Henan,2025.01.27.10,10551.17212099217
Henan,2025.01.27.11,11075.028224387283
Henan,2025.01.27.12,11620.900117785843
Henan,2025.01.27.13,11812.967570435278
Henan,2025.01.27.14,11791.492157808843
Henan,2025.01.27.15,11647.816263955827
Henan,2025.01.27.16,11536.310666684285
Henan,2025.01.27.17,11240.981685397606
Henan,2025.01.27.18,11152.801783478788
Henan,2025.01.27.19,10823.19503384029
Henan,2025.01.27.20,11100.124165439698
Henan,2025.01.27.21,11424.832852966561
Henan,2025.01.27.22,11316.401544159238
Henan,2025.01.27.23,10735.017425976372
Henan,2025.01.28.00,10368.997652661888
Henan,2025.01.28.01,10374.172785626737
Henan,2025.01.28.02,9953.487723147718
Henan,2025.01.28.03,9581.471035423343
Henan,2025.01.28.04,9317.245615188516
Henan,2025.01.28.05,9125.739186410217
Henan,2025.01.28.06,9235.081999698765
Henan,2025.01.28.07,9531.751983523396
Henan,2025.01.28.08,9627.753083289499
Henan,2025.01.28.09,9950.246223570612
Henan,2025.01.28.10,10551.17212099217
Henan,2025.01.28.11,11075.028224387283
Henan,2025.01.28.12,11620.900117785843
Henan,2025.01.28.13,11812.967570435278
Henan,2025.01.28.14,11791.492157808843
Henan,2025.01.28.15,11647.816263955827
Henan,2025.01.28.16,11536.310666684285
Henan,2025.01.28.17,11240.981685397606
Henan,2025.01.28.18,11152.801783478788
Henan,2025.01.28.19,10823.19503384029
Henan,2025.01.28.20,11100.124165439698
Henan,2025.01.28.21,11424.832852966561
Henan,2025.01.28.22,11316.401544159238
Henan,2025.01.28.23,10735.017425976372
Hubei,2025.01.22.00,10033.259226706943
Hubei,2025.01.22.01,9782.663154766165
Hubei,2025.01.22.02,9660.347702603603
Hubei,2025.01.22.03,9263.853593057751
Hubei,2025.01.22.04,9051.543486096627
Hubei,2025.01.22.05,8829.915335553658
Hubei,2025.01.22.06,8738.697838469281
Hubei,2025.01.22.07,8772.067553014409
Hubei,2025.01.22.08,9096.795724764344
Hubei,2025.01.22.09,9914.298358050168
Hubei,2025.01.22.10,10259.442117158293
Hubei,2025.01.22.11,10642.307865310544
Hubei,2025.01.22.12,10706.472812556696
Hubei,2025.01.22.13,11140.535964385614
Hubei,2025.01.22.14,11363.482335497614
Hubei,2025.01.22.15,11364.526130059949
Hubei,2025.01.22.16,11196.989174942419
Hubei,2025.01.22.17,11061.383942094955
Hubei,2025.01.22.18,10310.134576982648
Hubei,2025.01.22.19,9877.242065514716
Hubei,2025.01.22.20,10494.688627791507
Hubei,2025.01.22.21,11085.140452642152
Hubei,2025.01.22.22,10922.005534606169
Hubei,2025.01.22.23,10366.434352909931
Hubei,2025.01.23.00,10033.259226706943
Hubei,2025.01.23.01,9782.663154766165
Hubei,2025.01.23.02,9660.347702603603
Hubei,2025.01.23.03,9263.853593057751
Hubei,2025.01.23.04,9051.543486096627
Hubei,2025.01.23.05,8829.915335553658
Hubei,2025.01.23.06,8738.697838469281
Hubei,2025.01.23.07,8772.067553014409
Hubei,2025.01.23.08,9096.795724764344
Hubei,2025.01.23.09,9914.298358050168
Hubei,2025.01.23.10,10259.442117158293
Hubei,2025.01.23.11,10642.307865310544
Hubei,2025.01.23.12,10706.472812556696
Hubei,2025.01.23.13,11140.535964385614
Hubei,2025.01.23.14,11363.482335497614
Hubei,2025.01.23.15,11364.526130059949
Hubei,2025.01.23.16,11196.989174942419
Hubei,2025.01.23.17,11061.383942094955
Hubei,2025.01.23.18,10310.134576982648
Hubei,2025.01.23.19,9877.242065514716
Hubei,2025.01.23.20,10494.688627791507
Hubei,2025.01.23.21,11085.140452642152
